"old_names","new_names"
"bcr","bcr"
"oafA","oafA"
"ccmH","ccmH"
"napC","napC"
"napG","napG"
"napA","napA"
"napF","napF"
"yojI","yojI"
"yojN","rcsD"
"STM2281","STM2281"
"glpQ","glpQ"
"glpT","glpT"
"glpA","glpA"
"glpB","glpB"
"rhmA","rhmA"
"rhmD","rhmD"
"yfaX","yfaX"
"nudI","nudI"
"arnB","arnB"
"menF","menF"
"nuoL","nuoL"
"lrhA","lrhA"
"yfbR","yfbR"
"yfbS","yfbS"
"yfbT","hxpA"
"STM2345","STM2345"
"STM2357","STM2357"
"STM2358","STM2358"
"STM2360","STM2360"
"purF","purF"
"dedD","dedD"
"folC","folC"
"mnmC","mnmC"
"fadJ","fadJ"
"fadI","fadI"
"fadL","fadL"
"yfdC","yfdC"
"STM2406","STM2406"
"nupC","nupC"
"nfsB","nfsB"
"leuA","leuA"
"STM2612","STM2612"
"rseA","rseA"
"nadB","nadB"
"srmB","srmB"
"yfiE","yfiE"
"eamB","eamB"
"xapA","xapA"
"yfeR","yfeR"
"yfeH","yfeH"
"ligA","ligA"
"yfiO","bamD"
"cysW","cysW"
"STM2668","STM2668"
"yfiN","dgcN"
"talA","talA"
"tktB","tktB"
"recN","recN"
"STM2690","STM2690"
"STM2691","STM2691"
"acrD","acrD"
"dapE","dapE"
"tmcA","tmcA"
"gcvR","gcvR"
"STM2702","STM2702"
"yfgD","yfgD"
"guaB","guaB"
"STM2715","STM2715"
"STM2527","STM2527"
"STM2530","STM2530"
"pbpC","pbpC"
"sseA","sseA"
"STM2731","STM2731"
"STM2551","STM2551"
"yjdL","dtpC"
"yfhK","glrK"
"mltF","mltF"
"STM2570","STM2570"
"murQ","murQ"
"STM2573","STM2573"
"STM2575","STM2575"
"yfhL","yfhL"
"STM2755","STM2755"
"STM2758","STM2758"
"STM2767","STM2767"
"iroC","iroC"
"iroE","iroE"
"iroN","iroN"
"virK","virK"
"tctE","tctE"
"ygaF","lhgD"
"gabD","gabD"
"gabT","gabT"
"ygaU","kbp"
